term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
(Intercept),2.30889256951339,0.715319538192754,3.2277778618305,0.00143364131816357,0.89931007518967,3.71847506383711,hicp_yoy
D,-0.348348654442624,0.245312331888772,-1.42002096576445,0.156985679742179,-0.831752154849969,0.135054845964722,hicp_yoy
fx_vol,20.7949424230625,42.8653755301786,0.485122133326983,0.628061706480399,-63.6739973078558,105.263882153981,hicp_yoy
factor(country)SK,0.00605786535241588,0.202555814401521,0.0299071412504977,0.976167621355827,-0.393091206998144,0.405206937702975,hicp_yoy
factor(date)2005-02-01,-0.316461443220487,0.987849495620478,-0.320353904743064,0.74899737348841,-2.26308149440931,1.63015860796833,hicp_yoy
factor(date)2005-03-01,-0.613453250865726,1.00113166484022,-0.612759812130835,0.540653998833643,-2.58624665846265,1.3593401567312,hicp_yoy
factor(date)2005-04-01,-0.39441672648858,0.990166595559917,-0.398333702891225,0.690761943403734,-2.34560276998971,1.55676931701255,hicp_yoy
factor(date)2005-05-01,-0.743923083401832,0.988319278257009,-0.7527153418618,0.452407784287134,-2.6914688710556,1.20362270425193,hicp_yoy
factor(date)2005-06-01,-0.432774573983714,0.987217663972918,-0.438378069778526,0.661532843464783,-2.37814956085902,1.5126004128916,hicp_yoy
factor(date)2005-07-01,-0.64393280674389,0.988058518875708,-0.65171525212556,0.515250017920904,-2.59096475150719,1.30309913801941,hicp_yoy
factor(date)2005-08-01,-0.618364958263702,0.987220743061504,-0.626369494978467,0.53170756160106,-2.56374601267826,1.32701609615085,hicp_yoy
factor(date)2005-09-01,-0.256230031418209,0.988463733756466,-0.259220467749946,0.795702148487433,-2.20406047779073,1.69160041495431,hicp_yoy
factor(date)2005-10-01,0.559696189804784,0.987281715218513,0.566906265129105,0.571342974249573,-1.3858050141102,2.50519739371977,hicp_yoy
factor(date)2005-11-01,0.501986609833692,0.987592497596674,0.5082932596747,0.611745677422341,-1.44412701045804,2.44810023012543,hicp_yoy
factor(date)2005-12-01,0.554286098079205,0.987425347618961,0.561344813980914,0.575121155149325,-1.39149814258576,2.50007033874417,hicp_yoy
factor(date)2006-01-01,0.915200385457112,0.987308737236659,0.926964738526098,0.354938089970265,-1.03035406705756,2.86075483797178,hicp_yoy
factor(date)2006-02-01,0.994879182063277,0.987409183105128,1.00756525165652,0.314745537033014,-0.950873205402506,2.94063156952906,hicp_yoy
factor(date)2006-03-01,0.951068467404793,0.987827643008006,0.962787865005196,0.336687570176452,-0.995508521825908,2.89764545663549,hicp_yoy
factor(date)2006-04-01,1.00953635445476,0.987214450403885,1.02261099808835,0.307590025979185,-0.935832299879059,2.95490500878858,hicp_yoy
factor(date)2006-05-01,1.44344430694016,0.987313028930273,1.46199256430769,0.145138520706942,-0.502118602628831,3.38900721650915,hicp_yoy
factor(date)2006-06-01,1.06354817004416,0.987215899119217,1.07732074715677,0.282490691316205,-0.881823339075058,3.00891967916338,hicp_yoy
factor(date)2006-07-01,1.28330198991865,0.987267353057856,1.29985255355997,0.19498159192956,-0.662170912448337,3.22877489228564,hicp_yoy
factor(date)2006-08-01,1.40571719325875,0.987217037910915,1.42391909709483,0.155855203998306,-0.539656559921701,3.35109094643919,hicp_yoy
factor(date)2006-09-01,0.985094734054248,0.987542907624367,0.997520944607856,0.319583277847989,-0.960921166053534,2.93111063416203,hicp_yoy
factor(date)2006-10-01,-0.374510629130007,0.987530629887049,-0.379239506903033,0.704867673649637,-2.32050233517811,1.5714810769181,hicp_yoy
factor(date)2006-11-01,-0.0587021198054511,0.987214585964362,-0.0594623708361317,0.952636615195889,-2.00407104126979,1.88666680165888,hicp_yoy
factor(date)2006-12-01,0.181026002470459,0.987845344600503,0.183253384206278,0.854764235473177,-1.76558586887037,2.12763787381128,hicp_yoy
factor(date)2007-01-01,-0.609349661954855,0.988370275352551,-0.616519615320787,0.538174906776352,-2.5569959426181,1.33829661870839,hicp_yoy
factor(date)2007-02-01,-0.589866025320125,0.98737540273161,-0.597408061501471,0.550835713156213,-2.53555184641854,1.35581979577829,hicp_yoy
factor(date)2007-03-01,-0.371143712461016,0.993995089559482,-0.373385861116778,0.709212835694565,-2.32987404607764,1.58758662115561,hicp_yoy
factor(date)2007-04-01,-0.0806291146782215,0.987448176034621,-0.081654021583199,0.934994430457297,-2.02645834018335,1.8652001108269,hicp_yoy
factor(date)2007-05-01,-0.385460259298752,0.987479314394949,-0.390347679875129,0.696648771344467,-2.33135084491677,1.56043032631927,hicp_yoy
factor(date)2007-06-01,-0.322320536578376,0.987353375669023,-0.326449014629615,0.744388108178022,-2.26796295195367,1.62332187879691,hicp_yoy
factor(date)2007-07-01,-0.432645450457978,0.987251338395855,-0.438232326087262,0.661638321803081,-2.37808679491832,1.51279589400236,hicp_yoy
factor(date)2007-08-01,-0.449382813115378,0.987762634020101,-0.454950205280019,0.649583722762191,-2.39583169801447,1.49706607178372,hicp_yoy
factor(date)2007-09-01,-0.0597937217776036,0.987214451414228,-0.0605681183981317,0.951756928781706,-2.00516237810237,1.88557493454716,hicp_yoy
factor(date)2007-10-01,0.813540396824509,0.987688287997217,0.823681324068512,0.410992871832012,-1.13276198452368,2.7598427781727,hicp_yoy
factor(date)2007-11-01,1.3511100587555,0.988122241636,1.36735112501719,0.172879649890644,-0.59604745574636,3.29826757325735,hicp_yoy
factor(date)2007-12-01,1.58421745144402,0.987282571095591,1.60462414492541,0.109979223026742,-0.361285439030999,3.52972034191904,hicp_yoy
factor(date)2008-01-01,3.12710944013485,0.98916170609972,3.1613733334513,0.0017863659002573,1.17790359501527,5.07631528525442,hicp_yoy
